# Interaction cross-sections, 1/cm
# Date: 2021-05-31 21:02:47.940704
# Generated from NCrystal (https://github.com/mctools/ncrystal)
# Reference: X.-X. Cai and T. Kittelmann, Comp. Phys. Comm. 246 (2020) 106851
# Source file: Cu_sg225.ncmat
# wavelength[A]	sigma_tot[1/cm]
4.96	0.965372
4.97	0.967145
4.98	0.968919
4.99	0.970693
5	0.972467
5.01	0.974241
5.02	0.976016
5.03	0.977791
5.04	0.979567
5.05	0.981343
5.06	0.983119
5.07	0.984895
5.08	0.986672
5.09	0.988449
5.1	0.990226
5.11	0.992003
5.12	0.993781
5.13	0.995559
5.14	0.997337
5.15	0.999116
5.16	1.00089
5.17	1.00267
5.18	1.00445
5.19	1.00623
5.2	1.00801
5.21	1.00979
5.22	1.01157
5.23	1.01335
5.24	1.01513
5.25	1.01692
5.26	1.0187
5.27	1.02048
5.28	1.02226
5.29	1.02404
5.3	1.02583
5.31	1.02761
5.32	1.02939
5.33	1.03117
5.34	1.03296
5.35	1.03474
5.36	1.03653
5.37	1.03831
5.38	1.04009
5.39	1.04188
5.4	1.04366
5.41	1.04545
5.42	1.04723
5.43	1.04902
5.44	1.0508
5.45	1.05259
5.46	1.05438
5.47	1.05616
5.48	1.05795
5.49	1.05974
5.5	1.06152
5.51	1.06331
