# Interaction cross-sections, 1/cm
# Date: 2021-05-31 21:02:48.218523
# Generated from NCrystal (https://github.com/mctools/ncrystal)
# Reference: X.-X. Cai and T. Kittelmann, Comp. Phys. Comm. 246 (2020) 106851
# Source file: Mg_sg194.ncmat
# wavelength[A]	sigma_tot[1/cm]
5.25	0.0566941
5.26	0.0568315
5.27	0.0569692
5.28	0.0571071
5.29	0.0572453
5.3	0.0573838
5.31	0.0575226
5.32	0.0576616
5.33	0.0578009
5.34	0.0579405
5.35	0.0580804
5.36	0.0582205
5.37	0.0583609
5.38	0.0585015
5.39	0.0586425
5.4	0.0587837
5.41	0.0589251
5.42	0.0590668
5.43	0.0592088
5.44	0.0593511
5.45	0.0594936
5.46	0.0596364
5.47	0.0597795
5.48	0.0599228
5.49	0.0600664
5.5	0.0602102
5.51	0.0603543
