# Interaction cross-sections, 1/cm
# Date: 2021-05-31 21:02:49.126697
# Generated from NCrystal (https://github.com/mctools/ncrystal)
# Reference: X.-X. Cai and T. Kittelmann, Comp. Phys. Comm. 246 (2020) 106851
# Source file: Ti_sg194.ncmat
# wavelength[A]	sigma_tot[1/cm]
5.12	1.15465
5.13	1.15658
5.14	1.15852
5.15	1.16045
5.16	1.16239
5.17	1.16432
5.18	1.16626
5.19	1.16819
5.2	1.17013
5.21	1.17206
5.22	1.174
5.23	1.17594
5.24	1.17787
5.25	1.17981
5.26	1.18174
5.27	1.18368
5.28	1.18561
5.29	1.18755
5.3	1.18948
5.31	1.19142
5.32	1.19335
5.33	1.19529
5.34	1.19723
5.35	1.19916
5.36	1.2011
5.37	1.20303
5.38	1.20497
5.39	1.2069
5.4	1.20884
5.41	1.21078
5.42	1.21271
5.43	1.21465
5.44	1.21658
5.45	1.21852
5.46	1.22045
5.47	1.22239
5.48	1.22432
5.49	1.22626
5.5	1.2282
5.51	1.23013
